player_id,full_name,position,nationality,shirt_number,team,matches_played,goals_scored,avg_minutes,starts
561,Erling Haaland,Forward,,,Manchester City,1,4,0.0,0
681,Richarlison,Forward,,,Tottenham,1,4,0.0,0
1023,Chris Wood,Forward,,,Nott'ham Forest,1,4,0.0,0
646,Antoine Semenyo,Forward,,,Bournemouth,1,4,0.0,0
593,Mohamed Salah,Forward,,,Liverpool,1,2,0.0,0
608,Federico Chiesa,Forward,,,Liverpool,1,2,0.0,0
685,Brennan Johnson,Forward,WLS,,Tottenham,1,2,0.0,0
625,Wilson Isidor,Forward,,,Sunderland,1,2,0.0,0
581,Rayan Cherki,Midfielder,,,Manchester City,1,2,0.0,0
595,Cody Gakpo,Forward,,,Liverpool,1,2,0.0,0
1021,Dan Ndoye,Forward,,,Nott'ham Forest,1,2,0.0,0
628,Daniel Ballard,Defender,NIR,,Sunderland,1,2,0.0,0
563,Tijjani Reijnders,Midfielder,,,Manchester City,1,2,0.0,0
538,Riccardo Calafiori,Defender,,,Arsenal,1,2,0.0,0
839,Thiago,Forward,,,Brentford,1,2,0.0,0
794,Matt O'Riley,Midfielder,,,Brighton,1,2,0.0,0
632,Eliezer Mayenda,Forward,,,Sunderland,1,2,0.0,0
956,Lukas Nmecha,Forward,,,Leeds United,1,2,0.0,0
599,Hugo Ekitike,Forward,,,Liverpool,1,2,0.0,0
923,Rodrigo Muniz,Forward,,,Fulham,1,2,0.0,0
556,Piero Hincapié,Defender,,,Arsenal,0,0,0.0,0
557,Christian Nørgaard,Midfielder,,,Arsenal,0,0,0.0,0
558,Andre Annous,Forward,ENG,,Arsenal,0,0,0.0,0
559,Kepa Arrizabalaga,Goalkeeper,,,Arsenal,0,0,0.0,0
560,Jakub Kiwior,Defender,,,Arsenal,0,0,0.0,0
562,Rúben Dias,Defender,,,Manchester City,0,0,0.0,0
564,Gianluigi Donnarumma,Goalkeeper,,,Manchester City,0,0,0.0,0
565,Phil Foden,Midfielder,ENG,,Manchester City,0,0,0.0,0
566,Matheus Nunes,Defender,,,Manchester City,0,0,0.0,0
567,Nico O’Reilly,Defender,ENG,,Manchester City,0,0,0.0,0
568,Bernardo Silva,Midfielder,,,Manchester City,0,0,0.0,0
569,Jeremy Doku,Midfielder,,,Manchester City,0,0,0.0,0
570,Joško Gvardiol,Defender,,,Manchester City,0,0,0.0,0
571,Nicolás González,Midfielder,,,Manchester City,0,0,0.0,0
572,Oscar Bobb,Midfielder,,,Manchester City,0,0,0.0,0
573,Sávio,Midfielder,,,Manchester City,0,0,0.0,0
574,John Stones,Defender,ENG,,Manchester City,0,0,0.0,0
575,Rodri,Midfielder,,,Manchester City,0,0,0.0,0
576,James Trafford,Goalkeeper,ENG,,Manchester City,0,0,0.0,0
577,Abdukodir Khusanov,Defender,,,Manchester City,0,0,0.0,0
578,Rayan Aït-Nouri,Defender,,,Manchester City,0,0,0.0,0
579,Rico Lewis,Defender,ENG,,Manchester City,0,0,0.0,0
580,Omar Marmoush,Forward,,,Manchester City,0,0,0.0,0
582,Nathan Aké,Defender,,,Manchester City,0,0,0.0,0
583,Mateo Kovačić,Midfielder,,,Manchester City,0,0,0.0,0
584,Manuel Akanji,Defender,,,Manchester City,0,0,0.0,0
585,Ederson,Goalkeeper,,,Manchester City,0,0,0.0,0
586,İlkay Gündoğan,Midfielder,,,Manchester City,0,0,0.0,0
587,Ryan Mcaidoo,Forward,ENG,,Manchester City,0,0,0.0,0
588,Stephen Mfuni,Defender,ENG,,Manchester City,0,0,0.0,0
589,Divine Mukasa,Midfielder,ENG,,Manchester City,0,0,0.0,0
590,Stefan Ortega,Goalkeeper,,,Manchester City,0,0,0.0,0
591,Dominik Szoboszlai,Midfielder,,,Liverpool,0,0,0.0,0
592,Virgil van Dijk,Defender,,,Liverpool,0,0,0.0,0
594,Ibrahima Konaté,Defender,,,Liverpool,0,0,0.0,0
596,Milos Kerkez,Defender,,,Liverpool,0,0,0.0,0
597,Ryan Gravenberch,Midfielder,,,Liverpool,0,0,0.0,0
598,Alexis Mac Allister,Midfielder,,,Liverpool,0,0,0.0,0
600,Florian Wirtz,Midfielder,,,Liverpool,0,0,0.0,0
601,Alisson,Goalkeeper,,,Liverpool,0,0,0.0,0
602,Conor Bradley,Defender,NIR,,Liverpool,0,0,0.0,0
603,Giorgi Mamardashvili,Goalkeeper,,,Liverpool,0,0,0.0,0
604,Alexander Isak,Forward,,,Liverpool,0,0,0.0,0
605,Curtis Jones,Midfielder,ENG,,Liverpool,0,0,0.0,0
